ID	Compound name	Compound mass	Library	Match ID	Identification status	Match score
352.pooled	proline M+H	116.071	GNPS	CCMSLIB00000081786	Identified	0.747003786305
352.pooled	Massbank:KNA00425 L-Ornithine|(S)-2,5-Diaminovaleric acid|(S)-2,5-Diaminopentanoic acid|(S)-2,5-Diaminopentanoate [M+H]	116.07	MASSBANK	CCMSLIB00000216480	Identified	0.839037172754
441.pooled	Ethinoamide M+H	167.064	GNPS	CCMSLIB00000005850	Identified	0.715646399928
441.pooled	Massbank:FIO00048 Dihydrojasmone [M+H]+	167.144	MASSBANK	CCMSLIB00000213670	Identified	0.727744252136
441.pooled	Massbank:FIO00048 Dihydrojasmone [M+H]+	167.144	MASSBANK	CCMSLIB00000215151	Identified	0.727744252136
441.pooled	Massbank:KO003508 6-Methylmercaptopurine|Thiopurine S-methylether [M+H]+	167.0	MASSBANK	CCMSLIB00000219546	Identified	0.763084038154
9.pooled	Massbank:KO004019 Serotonin|3-(2-Aminoethyl)-1H-indol-5-ol|5-Hydroxytryptamine|Enteramine [M+H]+	177.0	MASSBANK	CCMSLIB00000220558	Identified	0.778220124259
9.pooled	Massbank:PB001418 Serotonin|3-(2-aminoethyl)-1H-indol-5-ol [M+H]+	177.103	MASSBANK	CCMSLIB00000222103	Identified	0.715681656724
90.pooled	Ethinoamide M+H	167.064	GNPS	CCMSLIB00000005850	Identified	0.722771772697
90.pooled	Massbank:FIO00048 Dihydrojasmone [M+H]+	167.144	MASSBANK	CCMSLIB00000213670	Identified	0.717915173457
90.pooled	Massbank:FIO00048 Dihydrojasmone [M+H]+	167.144	MASSBANK	CCMSLIB00000215151	Identified	0.717915173457
90.pooled	Massbank:KO003508 6-Methylmercaptopurine|Thiopurine S-methylether [M+H]+	167.0	MASSBANK	CCMSLIB00000219546	Identified	0.765125745512
51.pooled	Massbank:PB001602 Choline|2-hydroxyethyl-trimethylazanium M+	104.108	MASSBANK	CCMSLIB00000222126	Identified	0.943689926937
51.pooled	Massbank:PB001603 Choline|2-hydroxyethyl-trimethylazanium M+	104.108	MASSBANK	CCMSLIB00000222128	Identified	0.825388603682
352.pooled	proline M+H	116.071	GNPS	CCMSLIB00000081786	Identified	0.747003786305
352.pooled	Massbank:KNA00425 L-Ornithine|(S)-2,5-Diaminovaleric acid|(S)-2,5-Diaminopentanoic acid|(S)-2,5-Diaminopentanoate [M+H]	116.07	MASSBANK	CCMSLIB00000216480	Identified	0.839037172754
352.pooled	proline M+H	116.071	GNPS	CCMSLIB00000081786	Identified	0.747003786305
352.pooled	Massbank:KNA00425 L-Ornithine|(S)-2,5-Diaminovaleric acid|(S)-2,5-Diaminopentanoic acid|(S)-2,5-Diaminopentanoate [M+H]	116.07	MASSBANK	CCMSLIB00000216480	Identified	0.839037172754
441.pooled	Ethinoamide M+H	167.064	GNPS	CCMSLIB00000005850	Identified	0.715646399928
441.pooled	Massbank:FIO00048 Dihydrojasmone [M+H]+	167.144	MASSBANK	CCMSLIB00000213670	Identified	0.727744252136
441.pooled	Massbank:FIO00048 Dihydrojasmone [M+H]+	167.144	MASSBANK	CCMSLIB00000215151	Identified	0.727744252136
441.pooled	Massbank:KO003508 6-Methylmercaptopurine|Thiopurine S-methylether [M+H]+	167.0	MASSBANK	CCMSLIB00000219546	Identified	0.763084038154
94.pooled	Massbank:KO004019 Serotonin|3-(2-Aminoethyl)-1H-indol-5-ol|5-Hydroxytryptamine|Enteramine [M+H]+	177.0	MASSBANK	CCMSLIB00000220558	Identified	0.786141309025
94.pooled	Massbank:PB001418 Serotonin|3-(2-aminoethyl)-1H-indol-5-ol [M+H]+	177.103	MASSBANK	CCMSLIB00000222103	Identified	0.727527871218
6.extract2	Massbank:KO003363 5-Methylcytosine [M+H]+	126.0	MASSBANK	CCMSLIB00000219246	Identified	0.826983896941
51.pooled	Massbank:PB001602 Choline|2-hydroxyethyl-trimethylazanium M+	104.108	MASSBANK	CCMSLIB00000222126	Identified	0.943689926937
51.pooled	Massbank:PB001603 Choline|2-hydroxyethyl-trimethylazanium M+	104.108	MASSBANK	CCMSLIB00000222128	Identified	0.825388603682
352.pooled	proline M+H	116.071	GNPS	CCMSLIB00000081786	Identified	0.747003786305
352.pooled	Massbank:KNA00425 L-Ornithine|(S)-2,5-Diaminovaleric acid|(S)-2,5-Diaminopentanoic acid|(S)-2,5-Diaminopentanoate [M+H]	116.07	MASSBANK	CCMSLIB00000216480	Identified	0.839037172754
441.pooled	Ethinoamide M+H	167.064	GNPS	CCMSLIB00000005850	Identified	0.715646399928
441.pooled	Massbank:FIO00048 Dihydrojasmone [M+H]+	167.144	MASSBANK	CCMSLIB00000213670	Identified	0.727744252136
441.pooled	Massbank:FIO00048 Dihydrojasmone [M+H]+	167.144	MASSBANK	CCMSLIB00000215151	Identified	0.727744252136
441.pooled	Massbank:KO003508 6-Methylmercaptopurine|Thiopurine S-methylether [M+H]+	167.0	MASSBANK	CCMSLIB00000219546	Identified	0.763084038154
272.pooled	Massbank:KO004019 Serotonin|3-(2-Aminoethyl)-1H-indol-5-ol|5-Hydroxytryptamine|Enteramine [M+H]+	177.0	MASSBANK	CCMSLIB00000220558	Identified	0.780543472857
272.pooled	Massbank:PB001418 Serotonin|3-(2-aminoethyl)-1H-indol-5-ol [M+H]+	177.103	MASSBANK	CCMSLIB00000222103	Identified	0.717656769671
294.pooled	proline M+H	116.071	GNPS	CCMSLIB00000081786	Identified	0.760738600466
294.pooled	Massbank:KNA00425 L-Ornithine|(S)-2,5-Diaminovaleric acid|(S)-2,5-Diaminopentanoic acid|(S)-2,5-Diaminopentanoate [M+H]	116.07	MASSBANK	CCMSLIB00000216480	Identified	0.84440903366
441.pooled	Ethinoamide M+H	167.064	GNPS	CCMSLIB00000005850	Identified	0.715646399928
441.pooled	Massbank:FIO00048 Dihydrojasmone [M+H]+	167.144	MASSBANK	CCMSLIB00000213670	Identified	0.727744252136
441.pooled	Massbank:FIO00048 Dihydrojasmone [M+H]+	167.144	MASSBANK	CCMSLIB00000215151	Identified	0.727744252136
441.pooled	Massbank:KO003508 6-Methylmercaptopurine|Thiopurine S-methylether [M+H]+	167.0	MASSBANK	CCMSLIB00000219546	Identified	0.763084038154
539.pooled	Massbank:KO004019 Serotonin|3-(2-Aminoethyl)-1H-indol-5-ol|5-Hydroxytryptamine|Enteramine [M+H]+	177.0	MASSBANK	CCMSLIB00000220558	Identified	0.759652637229
352.pooled	proline M+H	116.071	GNPS	CCMSLIB00000081786	Identified	0.747003786305
352.pooled	Massbank:KNA00425 L-Ornithine|(S)-2,5-Diaminovaleric acid|(S)-2,5-Diaminopentanoic acid|(S)-2,5-Diaminopentanoate [M+H]	116.07	MASSBANK	CCMSLIB00000216480	Identified	0.839037172754
51.pooled	Massbank:PB001602 Choline|2-hydroxyethyl-trimethylazanium M+	104.108	MASSBANK	CCMSLIB00000222126	Identified	0.943689926937
51.pooled	Massbank:PB001603 Choline|2-hydroxyethyl-trimethylazanium M+	104.108	MASSBANK	CCMSLIB00000222128	Identified	0.825388603682
352.pooled	proline M+H	116.071	GNPS	CCMSLIB00000081786	Identified	0.747003786305
352.pooled	Massbank:KNA00425 L-Ornithine|(S)-2,5-Diaminovaleric acid|(S)-2,5-Diaminopentanoic acid|(S)-2,5-Diaminopentanoate [M+H]	116.07	MASSBANK	CCMSLIB00000216480	Identified	0.839037172754
51.pooled	Massbank:PB001602 Choline|2-hydroxyethyl-trimethylazanium M+	104.108	MASSBANK	CCMSLIB00000222126	Identified	0.943689926937
51.pooled	Massbank:PB001603 Choline|2-hydroxyethyl-trimethylazanium M+	104.108	MASSBANK	CCMSLIB00000222128	Identified	0.825388603682
352.pooled	proline M+H	116.071	GNPS	CCMSLIB00000081786	Identified	0.747003786305
352.pooled	Massbank:KNA00425 L-Ornithine|(S)-2,5-Diaminovaleric acid|(S)-2,5-Diaminopentanoic acid|(S)-2,5-Diaminopentanoate [M+H]	116.07	MASSBANK	CCMSLIB00000216480	Identified	0.839037172754
51.pooled	Massbank:PB001602 Choline|2-hydroxyethyl-trimethylazanium M+	104.108	MASSBANK	CCMSLIB00000222126	Identified	0.943689926937
51.pooled	Massbank:PB001603 Choline|2-hydroxyethyl-trimethylazanium M+	104.108	MASSBANK	CCMSLIB00000222128	Identified	0.825388603682
352.pooled	proline M+H	116.071	GNPS	CCMSLIB00000081786	Identified	0.747003786305
352.pooled	Massbank:KNA00425 L-Ornithine|(S)-2,5-Diaminovaleric acid|(S)-2,5-Diaminopentanoic acid|(S)-2,5-Diaminopentanoate [M+H]	116.07	MASSBANK	CCMSLIB00000216480	Identified	0.839037172754
441.pooled	Ethinoamide M+H	167.064	GNPS	CCMSLIB00000005850	Identified	0.715646399928
441.pooled	Massbank:FIO00048 Dihydrojasmone [M+H]+	167.144	MASSBANK	CCMSLIB00000213670	Identified	0.727744252136
441.pooled	Massbank:FIO00048 Dihydrojasmone [M+H]+	167.144	MASSBANK	CCMSLIB00000215151	Identified	0.727744252136
441.pooled	Massbank:KO003508 6-Methylmercaptopurine|Thiopurine S-methylether [M+H]+	167.0	MASSBANK	CCMSLIB00000219546	Identified	0.763084038154
51.pooled	Massbank:PB001602 Choline|2-hydroxyethyl-trimethylazanium M+	104.108	MASSBANK	CCMSLIB00000222126	Identified	0.943689926937
51.pooled	Massbank:PB001603 Choline|2-hydroxyethyl-trimethylazanium M+	104.108	MASSBANK	CCMSLIB00000222128	Identified	0.825388603682
441.pooled	Ethinoamide M+H	167.064	GNPS	CCMSLIB00000005850	Identified	0.715646399928
441.pooled	Massbank:FIO00048 Dihydrojasmone [M+H]+	167.144	MASSBANK	CCMSLIB00000213670	Identified	0.727744252136
441.pooled	Massbank:FIO00048 Dihydrojasmone [M+H]+	167.144	MASSBANK	CCMSLIB00000215151	Identified	0.727744252136
441.pooled	Massbank:KO003508 6-Methylmercaptopurine|Thiopurine S-methylether [M+H]+	167.0	MASSBANK	CCMSLIB00000219546	Identified	0.763084038154
717.pooled	Massbank:KO004019 Serotonin|3-(2-Aminoethyl)-1H-indol-5-ol|5-Hydroxytryptamine|Enteramine [M+H]+	177.0	MASSBANK	CCMSLIB00000220558	Identified	0.768698925512
6.extract2	Massbank:KO003363 5-Methylcytosine [M+H]+	126.0	MASSBANK	CCMSLIB00000219246	Identified	0.826983896941
94.pooled	Massbank:KO004019 Serotonin|3-(2-Aminoethyl)-1H-indol-5-ol|5-Hydroxytryptamine|Enteramine [M+H]+	177.0	MASSBANK	CCMSLIB00000220558	Identified	0.786141309025
94.pooled	Massbank:PB001418 Serotonin|3-(2-aminoethyl)-1H-indol-5-ol [M+H]+	177.103	MASSBANK	CCMSLIB00000222103	Identified	0.727527871218
20.extract1	Massbank:KO002149 N-Acetylputrescine [M+H]+	131.0	MASSBANK	CCMSLIB00000216785	Identified	0.799648485079
6.extract2	Massbank:KO003363 5-Methylcytosine [M+H]+	126.0	MASSBANK	CCMSLIB00000219246	Identified	0.826983896941
29.pooled	proline M+H	116.071	GNPS	CCMSLIB00000081786	Identified	0.771322889861
29.pooled	Massbank:KNA00425 L-Ornithine|(S)-2,5-Diaminovaleric acid|(S)-2,5-Diaminopentanoic acid|(S)-2,5-Diaminopentanoate [M+H]	116.07	MASSBANK	CCMSLIB00000216480	Identified	0.889979077511
539.pooled	Massbank:KO004019 Serotonin|3-(2-Aminoethyl)-1H-indol-5-ol|5-Hydroxytryptamine|Enteramine [M+H]+	177.0	MASSBANK	CCMSLIB00000220558	Identified	0.759652637229
182.extract1	Massbank:KO002149 N-Acetylputrescine [M+H]+	131.0	MASSBANK	CCMSLIB00000216785	Identified	0.826541455234
182.extract1	Massbank:KO002254 Agmatine|(4-Aminobutyl) guanidine [M+H]+	131.0	MASSBANK	CCMSLIB00000216999	Identified	0.946594526906
182.extract1	Massbank:KO002255 Agmatine|(4-Aminobutyl) guanidine [M+H]+	131.0	MASSBANK	CCMSLIB00000217001	Identified	0.922357262558
6.extract2	Massbank:KO003363 5-Methylcytosine [M+H]+	126.0	MASSBANK	CCMSLIB00000219246	Identified	0.826983896941
29.pooled	proline M+H	116.071	GNPS	CCMSLIB00000081786	Identified	0.771322889861
29.pooled	Massbank:KNA00425 L-Ornithine|(S)-2,5-Diaminovaleric acid|(S)-2,5-Diaminopentanoic acid|(S)-2,5-Diaminopentanoate [M+H]	116.07	MASSBANK	CCMSLIB00000216480	Identified	0.889979077511
