ID	Group	Preffered Label	Precursor mass
2.pooled	pooled	2	144.98
3.pooled	pooled	3	152.107067926
4.pooled	pooled	4	224.18567812
5.pooled	pooled	5	116.070655478
6.pooled	pooled	6	338.341679606
7.pooled	pooled	7	167.154369756
8.pooled	pooled	8	207.159230573
9.pooled	pooled	9	177.102325624
10.pooled	pooled	10	162.076148476
11.pooled	pooled	11	233.91
13.pooled	pooled	13	139.12304137
14.pooled	pooled	14	228.195873064
15.pooled	pooled	15	193.097320753
16.pooled	pooled	16	74.0963999999
17.pooled	pooled	17	83.0603259453
18.pooled	pooled	18	81.04
19.pooled	pooled	19	104.106940529
20.pooled	pooled	20	113.107276271
21.pooled	pooled	21	180.086594967
22.pooled	pooled	22	126.054939162
24.pooled	pooled	24	105.04
25.pooled	pooled	25	128.95
26.pooled	pooled	26	102.13
27.pooled	pooled	27	149.01
28.pooled	pooled	28	163.13
29.pooled	pooled	29	116.11
30.pooled	pooled	30	383.399248843
31.pooled	pooled	31	79.02
32.pooled	pooled	32	136.112084147
33.pooled	pooled	33	95.0603472579
35.pooled	pooled	35	82.05
36.pooled	pooled	36	112.09
37.pooled	pooled	37	144.07
38.pooled	pooled	38	166.12
39.pooled	pooled	39	121.06
40.pooled	pooled	40	132.101895669
41.pooled	pooled	41	203.117850869
42.pooled	pooled	42	88.08
43.pooled	pooled	43	171.11
44.pooled	pooled	44	157.133544736
46.pooled	pooled	46	114.09
47.pooled	pooled	47	171.15
48.pooled	pooled	48	139.02
49.pooled	pooled	49	87.09
51.pooled	pooled	51	104.07
52.pooled	pooled	52	101.11
53.pooled	pooled	53	111.09
54.pooled	pooled	54	273.253334162
57.pooled	pooled	57	151.01
61.pooled	pooled	61	244.190558941
64.pooled	pooled	64	103.96
65.pooled	pooled	65	145.99
80.pooled	pooled	80	75.1
81.pooled	pooled	81	237.911015811
84.pooled	pooled	84	144.98
86.pooled	pooled	86	152.106957776
87.pooled	pooled	87	224.185574432
89.pooled	pooled	89	116.070580194
90.pooled	pooled	90	167.154274741
91.pooled	pooled	91	338.341491072
93.pooled	pooled	93	207.159116329
94.pooled	pooled	94	177.102230626
95.pooled	pooled	95	233.91
96.pooled	pooled	96	162.076034275
98.pooled	pooled	98	74.0964
99.pooled	pooled	99	139.122959339
100.pooled	pooled	100	193.09719972
101.pooled	pooled	101	228.195744269
103.pooled	pooled	103	83.0603225235
104.pooled	pooled	104	81.04
105.pooled	pooled	105	104.106940784
107.pooled	pooled	107	128.95
108.pooled	pooled	108	113.107275352
110.pooled	pooled	110	105.04
111.pooled	pooled	111	102.13
112.pooled	pooled	112	126.054945462
113.pooled	pooled	113	149.01
115.pooled	pooled	115	95.0603529658
116.pooled	pooled	116	180.086602755
117.pooled	pooled	117	136.112092912
118.pooled	pooled	118	116.11
119.pooled	pooled	119	79.02
121.pooled	pooled	121	82.05
122.pooled	pooled	122	121.06
123.pooled	pooled	123	112.09
124.pooled	pooled	124	163.13
126.pooled	pooled	126	88.08
127.pooled	pooled	127	203.117842049
128.pooled	pooled	128	158.128767106
129.pooled	pooled	129	166.12
130.pooled	pooled	130	132.1
131.pooled	pooled	131	144.07
132.pooled	pooled	132	168.95
134.pooled	pooled	134	87.09
135.pooled	pooled	135	139.02
136.pooled	pooled	136	101.11
137.pooled	pooled	137	157.13
139.pooled	pooled	139	114.09
140.pooled	pooled	140	171.149142298
141.pooled	pooled	141	111.09
144.pooled	pooled	144	252.2167483
147.pooled	pooled	147	103.96
148.pooled	pooled	148	171.112733759
149.pooled	pooled	149	104.07
156.pooled	pooled	156	145.99
157.pooled	pooled	157	125.11
160.pooled	pooled	160	130.16
165.pooled	pooled	165	383.399312872
168.pooled	pooled	168	144.98
169.pooled	pooled	169	237.91
171.pooled	pooled	171	152.106964687
173.pooled	pooled	173	116.07058761
174.pooled	pooled	174	224.185564896
176.pooled	pooled	176	167.154262335
177.pooled	pooled	177	338.341474579
179.pooled	pooled	179	207.159096946
180.pooled	pooled	180	233.91
181.pooled	pooled	181	177.102231197
182.pooled	pooled	182	146.98
184.pooled	pooled	184	74.0964
185.pooled	pooled	185	139.122962474
186.pooled	pooled	186	162.076044189
188.pooled	pooled	188	83.0603263097
189.pooled	pooled	189	228.195756074
190.pooled	pooled	190	193.09722382
191.pooled	pooled	191	134.12
193.pooled	pooled	193	81.04
194.pooled	pooled	194	104.106949736
195.pooled	pooled	195	128.95
196.pooled	pooled	196	113.107280277
198.pooled	pooled	198	105.04
199.pooled	pooled	199	102.13
201.pooled	pooled	201	95.060348435
202.pooled	pooled	202	149.01
204.pooled	pooled	204	126.054952237
205.pooled	pooled	205	116.11
207.pooled	pooled	207	121.06
208.pooled	pooled	208	82.05
209.pooled	pooled	209	136.112099149
211.pooled	pooled	211	180.086606903
212.pooled	pooled	212	112.09
213.pooled	pooled	213	88.08
215.pooled	pooled	215	158.128805742
216.pooled	pooled	216	79.02
217.pooled	pooled	217	166.12
218.pooled	pooled	218	168.95
220.pooled	pooled	220	87.09
221.pooled	pooled	221	101.11
222.pooled	pooled	222	139.02
224.pooled	pooled	224	274.27
225.pooled	pooled	225	163.13
226.pooled	pooled	226	157.13
227.pooled	pooled	227	132.101906705
228.pooled	pooled	228	203.117861736
229.pooled	pooled	229	111.09
231.pooled	pooled	231	171.149128623
232.pooled	pooled	232	144.07
233.pooled	pooled	233	114.09
235.pooled	pooled	235	103.96
237.pooled	pooled	237	104.07
242.pooled	pooled	242	202.180149782
245.pooled	pooled	245	171.11
246.pooled	pooled	246	125.11
247.pooled	pooled	247	84.06
248.pooled	pooled	248	145.99
250.pooled	pooled	250	130.16
256.pooled	pooled	256	144.98
257.pooled	pooled	257	383.399256037
260.pooled	pooled	260	152.106953032
261.pooled	pooled	261	116.070589646
262.pooled	pooled	262	237.91
264.pooled	pooled	264	167.154258884
265.pooled	pooled	265	224.18555265
267.pooled	pooled	267	207.159087681
268.pooled	pooled	268	338.341402157
269.pooled	pooled	269	252.216722711
271.pooled	pooled	271	233.91
272.pooled	pooled	272	177.102220725
273.pooled	pooled	273	144.93
275.pooled	pooled	275	74.0963999999
276.pooled	pooled	276	139.122962359
277.pooled	pooled	277	162.076037051
279.pooled	pooled	279	83.0603243607
280.pooled	pooled	280	193.097181976
281.pooled	pooled	281	228.195739319
283.pooled	pooled	283	81.04
284.pooled	pooled	284	104.106949961
285.pooled	pooled	285	128.95
287.pooled	pooled	287	113.107285192
288.pooled	pooled	288	105.04
290.pooled	pooled	290	102.13
291.pooled	pooled	291	95.0603501403
292.pooled	pooled	292	149.01
294.pooled	pooled	294	116.11
295.pooled	pooled	295	126.054946979
297.pooled	pooled	297	121.06
298.pooled	pooled	298	82.05
299.pooled	pooled	299	136.112096901
301.pooled	pooled	301	112.09
302.pooled	pooled	302	180.08662836
304.pooled	pooled	304	158.128754693
305.pooled	pooled	305	88.08
307.pooled	pooled	307	168.95
308.pooled	pooled	308	79.02
309.pooled	pooled	309	166.12
311.pooled	pooled	311	139.02
312.pooled	pooled	312	87.09
313.pooled	pooled	313	101.11
315.pooled	pooled	315	274.27
316.pooled	pooled	316	157.13
317.pooled	pooled	317	163.13
318.pooled	pooled	318	132.1
319.pooled	pooled	319	134.12
321.pooled	pooled	321	111.09
322.pooled	pooled	322	114.09
323.pooled	pooled	323	171.149121092
324.pooled	pooled	324	144.07
326.pooled	pooled	326	103.96
329.pooled	pooled	329	104.07
331.pooled	pooled	331	202.180099985
334.pooled	pooled	334	171.11
336.pooled	pooled	336	125.11
337.pooled	pooled	337	84.06
338.pooled	pooled	338	145.99
340.pooled	pooled	340	130.16
346.pooled	pooled	346	144.98
349.pooled	pooled	349	152.106945718
350.pooled	pooled	350	383.399288336
352.pooled	pooled	352	116.070578461
353.pooled	pooled	353	167.154253703
354.pooled	pooled	354	237.911058233
356.pooled	pooled	356	224.185557763
357.pooled	pooled	357	207.159087013
359.pooled	pooled	359	233.91
360.pooled	pooled	360	338.341409159
362.pooled	pooled	362	177.10221213
364.pooled	pooled	364	74.0964
365.pooled	pooled	365	139.122972647
366.pooled	pooled	366	162.076041645
368.pooled	pooled	368	83.060325821
369.pooled	pooled	369	228.19570418
370.pooled	pooled	370	193.097219434
372.pooled	pooled	372	81.04
373.pooled	pooled	373	128.95
374.pooled	pooled	374	104.10694426
376.pooled	pooled	376	113.107284435
377.pooled	pooled	377	105.04
379.pooled	pooled	379	102.13
380.pooled	pooled	380	95.0603469483
381.pooled	pooled	381	149.01
383.pooled	pooled	383	116.11
384.pooled	pooled	384	126.05
386.pooled	pooled	386	121.06
387.pooled	pooled	387	82.05
388.pooled	pooled	388	136.112111533
389.pooled	pooled	389	144.93
390.pooled	pooled	390	147.98
392.pooled	pooled	392	158.128784005
393.pooled	pooled	393	112.09
394.pooled	pooled	394	180.086591497
396.pooled	pooled	396	168.95
397.pooled	pooled	397	88.08
399.pooled	pooled	399	139.02
400.pooled	pooled	400	79.02
401.pooled	pooled	401	166.12
403.pooled	pooled	403	87.09
404.pooled	pooled	404	101.11
406.pooled	pooled	406	157.13
407.pooled	pooled	407	163.13
408.pooled	pooled	408	132.101884073
410.pooled	pooled	410	111.09
411.pooled	pooled	411	114.09
413.pooled	pooled	413	103.96
414.pooled	pooled	414	171.15
417.pooled	pooled	417	144.07
418.pooled	pooled	418	104.07
421.pooled	pooled	421	171.11
422.pooled	pooled	422	202.180156392
423.pooled	pooled	423	86.1
425.pooled	pooled	425	125.11
427.pooled	pooled	427	130.16
433.pooled	pooled	433	145.99
435.pooled	pooled	435	144.98
437.pooled	pooled	437	152.106941654
439.pooled	pooled	439	116.070590695
441.pooled	pooled	441	167.154263011
442.pooled	pooled	442	237.91
443.pooled	pooled	443	180.04
445.pooled	pooled	445	233.91
446.pooled	pooled	446	207.159093719
447.pooled	pooled	447	224.185552594
449.pooled	pooled	449	177.102220541
450.pooled	pooled	450	338.341387887
452.pooled	pooled	452	74.0964
453.pooled	pooled	453	139.122953508
454.pooled	pooled	454	106.971511406
456.pooled	pooled	456	83.0603210827
457.pooled	pooled	457	162.076016028
458.pooled	pooled	458	228.1957309
